station,n_intervals,mean_lag_hours,sd_lag_hours,se_lag_hours,ci_lower_95,ci_upper_95
bel10,4,0.005277777777777778,0.004714045207910317,0.0023570226039551583,6.580134740256675e-4,0.00989754208152989
bel11,3,1.5702777777777777,2.2152084106171896,1.2789511721809577,-0.9364665196968991,4.077022075252454
bel12bis,4,0.0025925925925925925,5.782405554072592e-4,2.891202777036296e-4,0.0020259168482934784,0.0031592683368917066
bel13,78,56.319024122807015,339.58129028272026,38.45000962123135,-19.042994734806435,131.68104298042047
bel14,85,64.02206492637215,192.460153893129,20.875234647942747,23.106605016404366,104.93752483633995
bel16,1,NA,NA,NA,NA,NA
bel17bis,52,36.34553921568627,164.949275788225,22.87434891173446,-8.488184651313269,81.17926308268582
bel18,105,64.38783441208199,255.96108037930225,24.979243701414642,15.42851675730929,113.34715206685468
bel19,60,34.06186302681992,113.89306133268803,14.703530993002689,5.242942280534653,62.88078377310519
bel20,77,39.94888888888889,111.64240307203674,12.722832611428561,15.012136970488907,64.88564080728887
bel21,289,21.047095431668605,94.40478366020874,5.553222568247572,10.162779197903363,31.93141166543385
bel22,167,18.808718855218853,40.18321658845205,3.1094706554095315,12.714156370616172,24.903281339821532
bel23,148,28.54584094368341,101.36138065372802,8.33185416567286,12.215406778964603,44.87627510840221
